,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,continent_name,median_salary,average_salary,lowest_salary,highest_salary
65,Cambodia,37.3,9.6,24.0,43.5,22.7,23.9,Asia,745.19,808.3,203.41,3592.44
66,Cameroon,37.3,16.9,27.5,34.6,35.3,10.5,Africa,633.27,744.45,186.92,3303.31
67,Zimbabwe,37.2,10.0,24.1,35.5,26.7,26.1,Africa,555.40204,602.37635,151.42305,2674.772
68,Mauritius,37.1,10.0,24.1,40.7,26.5,43.2,Africa,901.53,1047.66,263.04,4653.78
69,Fiji,35.4,15.3,25.8,43.7,28.4,68.0,Oceania,1939.13,2100.0,530.43,9347.83
70,Sri Lanka,34.6,5.6,20.7,49.3,18.5,17.5,Asia,249.68,278.41,70.14,1239.11
71,South Africa,34.5,11.5,23.5,29.7,29.5,102.8,Africa,1441.44,1658.72,417.59,7366.19
72,Thailand,34.1,11.2,23.1,40.5,18.3,40.8,Asia,2432.28,2662.11,670.31,11846.79
73,Moldova,34.0,10.1,22.5,31.6,26.6,46.6,Europe,1318.68,1467.03,370.33,6538.46
74,Georgia,33.4,13.7,23.9,33.3,31.6,35.3,Asia,2309.7,2526.12,638.06,11231.34
75,Ecuador,32.6,8.6,21.1,34.9,24.5,41.6,South America,1260.0,1370.0,340.0,6080.0
76,Kazakhstan,31.7,12.3,22.4,32.2,28.7,44.7,Asia,701.0,813.99,204.86,3620.08
77,China,31.7,12.3,22.4,36.8,20.6,73.3,Asia,3684.93,4027.4,1015.07,17945.21
78,Nigeria,31.4,22.1,27.0,37.5,20.6,11.0,Africa,389.85,438.91,110.63,1949.27
79,Azerbaijan,31.2,8.7,20.4,29.0,31.8,37.2,Asia,1558.82,1741.18,441.18,7764.71
80,Philippines,31.0,7.1,19.6,35.0,16.8,33.3,Asia,728.78,790.54,199.4,3511.56
81,Russia,31.0,10.0,20.9,28.8,28.0,50.6,Europe,975.51,1065.68,268.47,4744.34
82,Ghana,30.9,10.2,21.0,33.9,26.9,18.4,Africa,373.82,438.42,110.25,1946.6
83,Brazil,30.2,7.9,19.5,29.5,22.6,37.2,South America,1490.04,1711.16,432.27,7609.56
84,Kenya,30.2,8.5,19.8,31.0,22.1,34.2,Africa,863.29,991.43,250.22,4424.36
85,Botswana,30.1,6.1,18.5,30.0,22.5,64.4,Africa,729.39,860.69,216.63,3822.03
86,Malaysia,30.0,7.7,19.3,36.3,18.9,79.9,Asia,1236.17,1406.38,355.32,6255.32
87,Peru,30.0,9.6,20.2,31.5,21.3,34.8,South America,1825.86,1997.36,503.96,8891.82
88,Morocco,29.5,7.4,18.9,29.8,20.7,38.6,Africa,1634.24,1896.89,477.63,8433.85
89,Argentina,29.4,7.6,18.9,29.7,24.8,41.5,South America,110.28,129.42,32.57,577.13
90,Iraq,29.3,7.6,18.9,28.2,20.9,50.4,Asia,1382.38,1573.31,395.62,6988.25
91,Uganda,29.1,7.7,18.8,29.3,21.6,17.8,Africa,645.21,698.31,176.04,3106.55
92,Algeria,28.9,3.8,16.9,36.8,14.0,29.9,Africa,1148.84,1308.81,330.11,5824.18
93,Colombia,28.8,8.6,19.1,30.3,20.5,33.7,South America,995.6,1157.85,292.53,5137.79
94,Vietnam,28.7,9.0,19.2,33.9,14.8,40.5,Asia,612.57,711.24,179.25,3161.52
95,Tunisia,28.1,4.7,16.9,31.4,15.0,32.2,Africa,1088.33,1239.75,312.3,5520.5
96,Bolivia,27.6,7.5,18.0,27.0,19.4,37.9,South America,1131.5,1236.99,312.14,5505.78
97,Kyrgyzstan,27.6,10.7,19.5,28.2,20.2,30.7,Asia,201.87,219.92,55.6,980.04
98,Indonesia,26.7,7.7,17.6,33.4,13.5,31.7,Asia,678.91,788.83,198.5,3504.47
99,Iran,26.4,8.5,17.8,22.0,16.3,26.0,Asia,932.63,1070.97,269.53,4770.47
100,Uzbekistan,26.4,11.2,19.1,28.4,18.6,39.3,Asia,97.25,106.98,27.07,477.35
101,Belarus,26.4,8.3,17.7,25.4,24.9,51.8,Europe,849.5,983.28,247.49,4381.27
102,Ukraine,25.9,7.6,17.1,25.4,20.7,39.5,Europe,530.73,622.8,157.32,2761.98
103,Nepal,25.5,3.5,15.0,25.6,16.2,25.4,Asia,551.13,608.2,153.18,2703.11
104,Paraguay,25.4,9.1,17.6,24.0,17.6,34.6,South America,1019.69,1126.17,283.93,5009.74
105,Madagascar,24.5,7.8,16.5,24.1,14.3,15.6,Africa,250.87,290.48,73.28,1291.74
106,Syria,24.0,3.7,14.2,24.5,15.3,5.5,Asia,10.12,11.51,2.9,51.2
107,Tanzania,23.8,8.4,16.4,25.4,16.5,25.9,Africa,457.77,505.54,126.98,2245.08
108,Bangladesh,22.5,2.4,12.8,25.7,12.8,33.1,Asia,218.57,236.71,59.68,1052.06
109,India,21.2,5.6,13.7,23.8,15.1,82.6,Asia,327.97,384.43,97.07,1717.92
110,Egypt,21.0,3.7,12.7,21.2,16.2,20.0,Africa,254.53,298.51,75.36,1329.24
111,Libya,20.4,4.3,12.7,22.2,15.2,42.0,Africa,417.18,470.35,118.61,2085.89
112,Pakistan,18.8,2.8,11.1,17.5,12.9,29.1,Asia,245.34,284.9,71.83,1266.61
